id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
1,108.0164200115006,2.602617116408504,0.5013404937773352,-0.07713498994753916,0.3480166545776987,25,3.5,-11.5,,-0.3995281074605945
2,261.1637584952026,6.696580933892444,0.9080245453154541,-0.1266383828066333,0.24356926092738007,25,5.5,-16.5,,-0.24162165464426302
3,138.92601399292764,8.161630640819931,0.8884489753704023,-0.25354020784113956,-0.19631631899432275,25,6.5,-9.0,,-0.39655183041951564
4,291.162376722575,12.490138662413145,0.5165534629055286,0.19674610604330314,0.20614379118808226,25,4.0,-10.0,,-0.4773607339199627
5,155.57372307286218,14.976932400033062,0.710766301416971,-0.4624639262555419,-0.18580017320811779,25,4.0,-9.5,,-0.17909474272694997
6,150.79420611584948,19.002470408790884,0.7839293767442299,-0.29793109247745647,-0.3523082335819343,25,4.0,-10.0,,-0.07271946681969613
7,44.924648861063154,41.19478428932207,0.7013142149942867,0.3295923107654795,-0.09261614988908201,25,7.0,10.5,-2.5529732476748452,-0.6180079134832329
8,223.84807932196622,49.28898186589897,0.9173586655695185,-0.2605898175319072,-0.04374028099133473,25,9.0,26.0,-3.537433369927045,-0.5062819193634384
9,254.29556785340992,54.91675701272815,0.9846157855783475,-0.1533474403675086,-0.2404364650073777,25,11.0,17.5,-3.107595121715736,-0.7392699598101495
10,206.41131279354497,55.64713621922837,0.6902033855081802,0.26664801809577554,0.17254800275741575,25,5.0,16.5,-3.043709860534766,-0.16270621424454348
11,279.83823597627537,59.745260417148195,0.8472112554019381,0.11372376830445882,0.13128181355333887,25,6.5,14.5,-2.903420005587437,-0.27691606991458584
12,196.96580609709454,61.84925682734588,0.9680088713201802,-0.34146133444980203,-0.27231122721216866,25,6.0,13.5,-2.8258344212375155,-0.052431071813417274
13,239.43098436667464,63.198180142205935,0.802634745805184,0.05544841800180483,-0.23793507450643897,25,8.0,26.0,-3.537433369927045,-0.514538455862967
14,98.34505269228255,65.32303163310169,0.8088423341774957,-0.33286202093095085,-0.1271020278889483,25,8.0,31.0,-3.728404234585682,-0.46711419081270156
15,278.9169335822873,64.67893641073714,0.8247999325494613,0.06820138381336138,-0.04785915290358894,25,9.0,20.0,-3.252574989159953,-0.6616062996088189
16,269.5821247162018,69.02016624421776,0.8692889145921342,-0.09922826117843415,-0.33558843167045477,25,8.0,19.5,-3.2250865284062953,-0.4693252302238205
17,308.88343657977146,70.22924614170911,0.9131437313021435,-0.053955202437396266,-0.013778096390533703,25,11.5,16.5,-3.043709860534766,-0.8585750760019639
18,212.76485466753522,72.87135417128842,0.9501613486108272,-0.018012917406858522,-0.12111190910280008,25,70.5,207.0,-5.789925863642295,-2.7199260903612412
19,243.0013694088173,78.46120168520764,0.8330045009047429,0.1276604576670532,0.15513202893550407,25,56.0,198.5,-5.744401277747835,-2.571504495959908
20,127.94549722785831,83.24931360527609,0.8873611691755123,-0.5531803032020929,-0.022942908445136884,25,6.0,15.5,-2.9758292454257287,-0.1172655420663605
21,203.76005558027327,104.02104601508752,0.9727596780490442,-0.29280716454086975,-0.2708995530201697,25,30.0,87.5,-4.855020132555783,-1.762924498502561
22,234.00195068659764,109.7328945115709,0.8963044884145923,0.07220407426870329,0.031706142760907795,25,27.0,88.0,-4.861206680375422,-1.724294047452599
23,204.25911633846127,112.59188219786556,0.9263368816179998,-0.011056425701467726,-0.0026002627111465816,25,11.5,43.0,-4.083671138948966,-0.7318771079515203
24,234.55190464072356,118.22830086637914,0.9743844676931646,-0.2173272153770724,-0.2883683101647326,25,12.0,39.0,-3.977661517566248,-0.7582125156554914
25,49.136029779664995,122.54616379762206,0.8087414128288251,-0.12196852867658355,0.16456797308597884,25,17.0,58.0,-4.408569983907343,-1.313135466096964
26,58.24875559823605,124.71847712532666,0.810472104567911,-0.22756396971140613,0.07265852640830871,25,5.0,10.0,-2.5,-0.07710549693391755
27,225.92985467851662,126.47967280497772,0.8743955324879714,0.0010740870911331336,0.13485930570437057,25,37.0,128.5,-5.272257819168283,-2.0811237118657013
28,71.2583193012277,127.08976092692734,0.9549808991981387,-0.0818468413455333,-0.1368754646765168,25,427.0,1178.5,-7.678323967150856,-4.678565473492108
29,22.973279398922937,127.49635218138252,0.6703176734377455,0.14516035441069988,0.2226963078525171,25,34.0,129.5,-5.280674421043177,-2.2492726895567206
30,177.8648485544969,130.77553320323466,0.919081258272937,0.06310534750452797,-0.03518236317543883,25,244.0,748.0,-7.184753994661154,-4.0954814657947605
31,53.87436978834416,133.31543096732113,0.9153572130740791,-0.10697737413362039,-0.00506938956698381,25,46.0,145.0,-5.403420005587437,-2.2808236193090745
32,101.9028057877646,132.92457976885387,0.9853489906616072,-0.07076267165240578,-0.08609394824005756,25,429.0,1161.0,-7.662080549346435,-4.6533852786961045
33,355.26302978041946,135.08355694712378,0.8452639255934518,0.1997334594146252,-0.08921338932492413,25,6.5,6.0,-1.9453781259591092,-0.3409707132129078
34,208.07735668337898,136.44325977796177,0.7947986807368971,0.22027646883864666,0.18092346568068268,25,234.5,827.0,-7.293763773881366,-4.181978970896415
35,264.979835482398,136.16049820824432,0.9890720668150385,0.27345901959159724,-0.05633901980480124,25,6.5,17.5,-3.107595121715736,-0.09057742323265415
36,315.70748888238023,142.77466266088055,0.7529996765151169,0.11220619551623559,0.12811387563529703,25,26.5,117.0,-5.1704646543654045,-1.818051746496796
37,19.41210298548798,144.8790053484839,0.6043884334292233,-0.3998815214538105,-0.43005992044769076,25,8.0,22.5,-3.3804562952784063,-0.8339919796317319
38,267.7378701946617,148.01922433397334,0.9647403506318626,0.12414762996129405,0.01229116086826349,25,7.5,32.5,-3.779708402447186,-0.18019117083255068
39,345.6848894980863,148.25234960706177,0.9118909802269668,-0.19705592101631925,-0.012575510393971527,25,32.5,105.0,-5.052973247674846,-1.9048433551228787
40,50.18690896597071,150.78207330522108,0.7793887552439561,-0.06834601283105095,-0.15096831607985048,25,11.0,43.5,-4.096223142386593,-0.8692943578095578
41,205.70753048395343,171.8022341210116,0.8692967450514771,0.2788153486134374,-0.2459035628658942,25,8.5,43.0,-4.083671138948966,-0.38885374164653813
42,317.05484224294577,172.61707382958286,0.6881613764155495,0.19801832435830133,0.17812958271501136,25,5.0,23.0,-3.404319590043982,-0.1024117431963785
43,335.8257453917106,178.54682342121654,0.7386849743739551,0.11445462838859664,-0.08584243111716351,25,8.0,32.0,-3.7628749457997652,-0.5774918001397938
44,353.39995464828957,183.02692894044125,0.7109059122059912,0.037181091227954904,0.04777327837469333,25,5.0,8.5,-2.3235473142857317,-0.18476626368223364
45,94.76147904394826,183.7577088575748,0.6835568834817146,-0.16102648409485182,-0.04081022252138524,25,5.0,25.5,-3.516350451084888,-0.08321814148339853
46,383.37069252142527,188.59747643631985,0.8496600163994079,-0.45034077528396377,-0.07791990990188903,25,7.0,6.5,-2.032283391607139,-0.43726481204855516
47,125.12804488749046,189.7933490751099,0.9306312848149951,0.3527559836233442,0.18609034950442013,25,6.5,32.0,-3.7628749457997652,-0.06055751557203824
48,58.984998043042616,195.36316118407902,0.568610386193859,0.026084049229808906,0.30873177318817585,25,4.0,18.5,-3.1679293210075343,-0.06895938961826122
49,159.60418049088986,198.32963210429213,0.824753149583056,-0.33043201952183715,-0.08018405325225852,25,77.5,278.5,-6.112062998774369,-2.934770662675807
50,89.7723372199033,200.92416624377853,0.87753191525451,-0.31928381341142686,-0.21876531076707476,25,7.0,19.0,-3.196884002382072,-0.2873942603755169
51,223.17918194441245,209.72167665089498,0.9098764507753732,0.0755870704796944,0.045042758278402324,25,19.5,74.0,-4.673079299327441,-1.3205609369296876
52,352.3833093838522,215.59255034460742,0.4809868230922308,-0.20289541234077307,-0.5551312172138358,25,3.0,7.5,-2.1876531584792502,-0.004298973923462935
53,236.2852232579478,221.89338437335013,0.9502866455235348,-0.1935954853687716,-0.13746720246142816,25,4302.5,11923.5,-10.19100939009852,-7.191659612020908
54,38.73740000385283,223.91289879209154,0.9629873483864221,-0.0612515542426531,-0.10386384697659827,25,62.0,179.0,-5.632132577449733,-2.5682545416120313
55,55.847824712930795,227.3252771984451,0.7142359902161313,-0.27049021740550444,0.23175974705695823,25,5.0,20.0,-3.252574989159953,-0.10058404894926845
56,315.403391295236,227.9056068130418,0.7187696997831221,-0.3145968730695148,-0.19942998832655476,25,24.5,93.5,-4.927029027181295,-1.8220346279945105
57,69.25299820621878,229.77285598842536,0.8286102502330683,-0.28032766478106497,-0.06581551156434218,25,74.5,259.0,-6.03324941020313,-2.8958302503348405
58,345.3889490521839,233.36932934261438,0.7456626513853609,0.17136621976689462,-0.01763145398996326,25,23.0,86.5,-4.842540268662035,-1.7118242347841246
59,99.5976639423682,235.88322487791507,0.8349918898754661,-0.28184625305293304,-0.2907416117356282,25,17.5,70.5,-4.6204727924784965,-1.2820974423639884
60,112.11800845711086,237.57268811605664,0.8063238840157045,-0.09911452222145357,0.09792213142850517,25,16.0,62.5,-4.489700043360188,-1.2250617631491507
61,248.14011209158275,238.73827635515187,0.6015105699579993,-0.5510457835995085,-0.2699093175808717,25,5.0,34.5,-3.8445477376831856,-0.13122477047232525
62,142.51292014952438,243.2073200700709,0.7159031619392807,-0.03833390636769008,-0.29382180605873165,25,17.5,78.5,-4.7371741418631315,-1.4196718872769878
63,159.27989913075407,248.82010370830506,0.9502702083240228,-0.03244069604596436,-0.05017071398995442,25,8.0,34.0,-3.828697292605638,-0.2841726998684456
64,266.73332906658266,251.97726618926913,0.9101338222947822,-0.529014137724724,-0.3016464848976099,25,8.0,30.5,-3.7107495983669647,-0.35871611285771055
65,293.25486226639623,257.22546527912766,0.8815659634893026,0.044404023114692465,-0.05715577516877196,25,167.0,521.5,-6.793135781906374,-3.724801606063904
66,88.19281205130274,261.0763888468595,0.7351131631217385,-0.6573326850939808,-0.32841281966643504,25,5.0,18.0,-3.1381812627582653,-0.08807688094356968
67,110.66805392035849,261.99578847525487,0.9682144791617808,-0.19436574258947234,-0.1644208675890012,25,75.5,227.5,-5.892453502482828,-2.7674613441872125
68,204.5626398529699,267.1592441017233,0.8781649133258768,-0.31818975645768616,-0.2311864345773443,25,177.0,590.5,-6.928049754873834,-3.7799030314083186
69,141.0162998162433,267.72948939550037,0.8686204043696626,-0.013131050207974254,0.017379298513500962,25,62.5,210.5,-5.808130250429217,-2.659289862981204
70,198.43530511627725,273.4297647202993,0.9302220615672196,0.18503961845895053,-0.08820187991056055,25,15.5,65.0,-4.532283391607138,-1.0314854760217165
71,317.4140839855377,278.21132363763263,0.8232452824270466,-0.12252973156037404,-0.15858229096649107,25,24.5,81.5,-4.777894021849941,-1.7000843996929162
72,228.6012038780601,279.1013499446946,0.707598869763091,-0.07543121641271776,-0.27266805879519895,25,16.0,78.5,-4.7371741418631315,-1.3264259694079608
73,347.2559696749261,283.91179589164665,0.9873597826285948,-0.288504069467513,-0.10723736931354423,25,34.5,80.5,-4.764489700919671,-1.9341250413568223
74,132.2178368454926,296.5368821061878,0.7031449236574903,0.69663799476867,0.28486620327566853,25,11.5,56.5,-4.380121119548596,-0.9638333127405518
75,162.6080494414143,302.1261936477401,0.9461091168675795,-0.24104455965887134,-0.261405134870611,25,15.0,56.5,-4.380121119548596,-0.9965225482332541
