night,file,JD,DATE-OBS,OBJECT,BL-Lac_xpix,BL-Lac_ypix,BL-Lac_flux,BL-Lac_sky_std,BL-Lac_instmag,ref-A_xpix,ref-A_ypix,ref-A_flux,ref-A_sky_std,ref-A_instmag,ref-B_xpix,ref-B_ypix,ref-B_flux,ref-B_sky_std,ref-B_instmag,ref-C_xpix,ref-C_ypix,ref-C_flux,ref-C_sky_std,ref-C_instmag,zero_point,target_Rmag,target_minus_ref_ensemble
20200824,BL-Lacertae-20200824@153717-R_Astrodon_2018_calib.fts,2459086.150949074,2020-08-24T15:37:22,BL-Lacertae,1021.6755269258266,1026.6728297875422,1124109.4075980568,27.621423677419187,-15.127021456026908,1010.8029724545369,877.005518985253,252489.2458837814,20.526530212021473,-13.505607213039742,1026.4406909779946,1056.0266525253503,1223431.899965051,25.94247957216724,-15.218949500438335,983.2033570795819,981.5348620201033,247511.36198891953,21.166421545978654,-13.483987849950047,27.235607213039742,12.108585757012834,-1.0575066015508678
20200824,BL-Lacertae-20200824@155446-R_Astrodon_2018_calib.fts,2459086.1630439814,2020-08-24T15:54:47,BL-Lacertae,1020.5011347251798,1019.9015497550644,1138083.6705902577,27.930053404021077,-15.140435480147328,1030.468123278492,1169.6309325964805,262045.69312365894,19.615358746879014,-13.545942565524882,1015.9137683689792,990.5196333259175,1217094.81436244,25.286458902044668,-15.213311030107759,1058.6976344136162,1065.2710423874198,253081.9679418928,21.266837394267213,-13.508153007084559,27.275942565524883,12.135507085377554,-1.0512999459082604
20200824,BL-Lacertae-20200824@160116-R_Astrodon_2018_calib.fts,2459086.1675462965,2020-08-24T16:01:16,BL-Lacertae,1021.0276001228015,1015.8856547525099,1122775.6232637705,30.168000645070123,-15.125732437593582,1030.998184500868,1165.6130569706133,262856.04675610445,22.43997104385569,-13.549294930013504,1016.4394770971755,986.5041864995962,1193060.99142691,26.361083905514572,-15.191656615385149,1059.2258713667798,1061.2537479145808,253176.33414870495,22.464964761998694,-13.508557768085039,27.279294930013506,12.153562492419924,-1.0425626664323513
20200824,BL-Lacertae-20200824@160756-R_Astrodon_2018_calib.fts,2459086.1721875,2020-08-24T16:07:57,BL-Lacertae,1021.8417011239527,1012.5149833648977,1128278.6862079445,28.38831101871482,-15.131040960407207,1031.8079432839781,1162.2350747539351,264261.30793755734,20.370314092448996,-13.55508395040097,1017.2544394735091,983.1348737727388,1205536.816383421,27.135560047792893,-15.202951195033394,1060.038532172544,1057.8818736171131,253031.90412196622,23.630817894848363,-13.507938209170412,27.28508395040097,12.154042989993764,-1.0423831755389479
20200824,BL-Lacertae-20200824@161426-R_Astrodon_2018_calib.fts,2459086.176701389,2020-08-24T16:14:27,BL-Lacertae,1022.6701379840373,1009.6006154227703,1108995.2882511045,31.49320169615995,-15.112324252453845,1032.632053891435,1159.3238926481179,261847.5119320656,23.72126195290584,-13.545121129006896,1018.0837171621937,980.2198038518528,1179489.2855390462,26.581776871096018,-15.179235000289298,1060.8657664961547,1054.9694950589928,251851.93251578798,24.74449879836355,-13.502863219111214,27.275121129006898,12.162796876553053,-1.036584469651375
20200824,BL-Lacertae-20200824@162108-R_Astrodon_2018_calib.fts,2459086.1813425925,2020-08-24T16:21:08,BL-Lacertae,1023.8712476616577,1007.0476636026941,1097817.6190376915,27.749583510211846,-15.101325491395103,1033.8455784278644,1156.773289113345,262344.88453532895,22.98648828557504,-13.547181500764724,1019.2825071784911,977.6666170467779,1153215.3361170362,27.08609030816804,-15.154776023127392,1062.069079809816,1052.4142337449148,251922.7939020706,24.567220042089563,-13.503168660289898,27.277181500764726,12.175856009369623,-1.032950096667765
20200824,BL-Lacertae-20200824@162738-R_Astrodon_2018_calib.fts,2459086.1858680556,2020-08-24T16:27:39,BL-Lacertae,1024.9614514536597,1004.5495349940903,1074361.2109596482,27.828378530476375,-15.077875800132931,1034.9372558454693,1154.2661768363482,260186.91576099754,23.880014870150035,-13.538213632603942,1020.3721838879375,975.1702611953735,1121066.2120127347,26.205052724561103,-15.12407815874563,1063.162910106721,1049.913248891208,251863.4243596048,23.317767579773832,-13.502912759434826,27.268213632603942,12.19033783247101,-1.022807616538131
20200824,BL-Lacertae-20200824@163421-R_Astrodon_2018_calib.fts,2459086.1905324073,2020-08-24T16:34:22,BL-Lacertae,1026.1717139626558,1002.1645441237242,1059616.7168504107,28.645159955366644,-15.062872003117862,1036.1449397866409,1151.8862851026045,259239.81277839135,22.31061604445065,-13.534254247840176,1021.582934505319,972.784223015906,1101382.5392805699,25.800640013771787,-15.10484546782864,1064.3726302559307,1047.5304250334477,250133.94440742597,21.62724646694355,-13.49543157907155,27.264254247840178,12.201382244722316,-1.0180282382044048
20200824,BL-Lacertae-20200824@164051-R_Astrodon_2018_calib.fts,2459086.1950347223,2020-08-24T16:40:51,BL-Lacertae,1027.6368146936702,1000.629217368774,1052227.3155657533,29.763205724845115,-15.055273929467086,1037.6089394056037,1150.3514967412248,258669.14442299888,23.36177686227217,-13.531861566514634,1023.0484256272091,971.2487827598596,1087529.3936089752,25.33064391934541,-15.091102509606154,1065.8350670773855,1045.9953650298764,250354.936640549,23.27172250930004,-13.496390398710314,27.261861566514632,12.206587637047546,-1.015489104523386
20200824,BL-Lacertae-20200824@164733-R_Astrodon_2018_calib.fts,2459086.1996875,2020-08-24T16:47:33,BL-Lacertae,1029.1863949640579,999.9084197014639,1044420.3434034026,26.926197729167704,-15.047188306244262,1039.1631578717104,1149.6331830662514,255749.95503170087,22.792027575164035,-13.519538915056428,1024.5970506250515,970.5275761405402,1082847.422888037,25.93112070521669,-15.086418168188537,1067.3866556498779,1045.2742702906723,245367.43377810638,22.001917370811434,-13.474542301957444,27.249538915056426,12.202350608812164,-1.0203551778434594
