file,night,type_from_path,shape,OBJECT,FILTER,EXPTIME,IMAGETYP,DATE-OBS,JD,MJD,NAXIS1,NAXIS2
data_raw/20200819/flat/AutoFlat-20200819@210729-PANoRot-R_Astrodon_2018-Bin1-001-NoGEM.fts,20200819,flat,"(2048, 2048)",,R_Astrodon_2018,23.4,FLAT,2020-08-19T21:08:04,2459081.3806018517,,2048,2048
data_raw/20200819/flat/AutoFlat-20200819@210838-PANoRot-R_Astrodon_2018-Bin1-002-NoGEM.fts,20200819,flat,"(2048, 2048)",,R_Astrodon_2018,21.47,FLAT,2020-08-19T21:08:39,2459081.3810069445,,2048,2048
data_raw/20200819/flat/AutoFlat-20200819@210910-PANoRot-R_Astrodon_2018-Bin1-003-NoGEM.fts,20200819,flat,"(2048, 2048)",,R_Astrodon_2018,18.89,FLAT,2020-08-19T21:09:11,2459081.3813773147,,2048,2048
data_raw/20200819/flat/AutoFlat-20200819@210941-PANoRot-R_Astrodon_2018-Bin1-004-NoGEM.fts,20200819,flat,"(2048, 2048)",,R_Astrodon_2018,16.81,FLAT,2020-08-19T21:09:41,2459081.381724537,,2048,2048
data_raw/20200819/flat/AutoFlat-20200819@211009-PANoRot-R_Astrodon_2018-Bin1-005-NoGEM.fts,20200819,flat,"(2048, 2048)",,R_Astrodon_2018,15.07,FLAT,2020-08-19T21:10:10,2459081.382060185,,2048,2048
data_raw/20200824/bias/Bias-20200824@212029-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.3893287037,,2048,2048
data_raw/20200824/bias/Bias-20200824@212044-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.3894097223,,2048,2048
data_raw/20200824/bias/Bias-20200824@212051-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.389490741,,2048,2048
data_raw/20200824/bias/Bias-20200824@212058-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.3895601854,,2048,2048
data_raw/20200824/bias/Bias-20200824@212105-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.389641204,,2048,2048
data_raw/20200824/bias/Bias-20200824@212112-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.389722222,,2048,2048
data_raw/20200824/bias/Bias-20200824@212118-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.3898032405,,2048,2048
data_raw/20200824/bias/Bias-20200824@212125-000S.fts,20200824,bias,"(2048, 2048)",,,0.0,BIAS,2020-08-24,2459086.389884259,,2048,2048
